,wins,losses,average,median,forfeits,blanks,sarias,multizl,mean synergy,mean estimate diff
Fenyan,2,2,1:24:38,1:24:53,0,0,1,1,-5.4,-4.8
MikeKatz45,2,2,1:21:00,1:20:44,0,0,0,1,-3.9,-3.2
Davpat,1,3,1:38:04,1:33:53,0,0,0,0,-4.7,-4.6
tob3000,4,0,1:06:53,1:08:10,0,0,0,1,-6.9,-6.5
QuickKiran,3,1,1:17:37,1:18:38,0,0,0,0,-6.1,-5.7
Lake_oot,2,1,1:24:42,1:26:19,0,0,0,1,-4.5,-4.2
scaramanga,3,1,1:14:12,1:13:55,0,0,0,1,-5.1,-4.9
Timato,3,1,1:13:13,1:13:42,0,0,0,0,-4.6,-4.7
DiamondFlash27,3,1,1:19:18,1:17:10,0,0,0,0,-4.9,-5.6
MatttInTheHat,1,2,1:24:58,1:25:18,0,0,0,0,-3.9,-4.3
JFM2796,2,2,1:38:30,1:30:36,0,0,0,0,-3.2,-2.7
Condor,0,3,1:40:20,1:44:37,0,0,1,1,-3.8,-3.3
Link11,3,1,1:21:17,1:22:11,0,0,0,0,-5.2,-4.8
Runnerguy2489,2,2,1:15:51,1:15:29,0,0,0,0,-4.6,-4.5
CoffeePot,1,2,1:32:24,1:31:17,0,0,0,0,-5.7,-5.7
gc_one,1,3,2:12:14,2:12:14,2,1,2,0,-4.4,-6.2
Kayla,0,3,2:15:36,2:15:36,1,0,1,0,-4.0,-4.4
moosecrap,1,3,1:40:04,1:41:14,0,0,2,1,-4.8,-5.6
noface099,0,4,2:12:35,2:12:35,2,3,1,0,-2.2,-3.0
Amateseru,4,0,1:14:59,1:12:10,0,0,0,1,-3.6,-4.2
xwillmarktheplace,2,2,1:21:20,1:19:17,0,0,0,0,-4.8,-4.7
Gombill,2,2,1:34:25,1:32:25,0,0,0,0,-6.9,-5.9
Countdown,0,4,2:00:53,1:56:08,1,0,1,0,-5.6,-5.1
Bonooru,3,1,1:12:15,1:13:45,0,0,0,0,-5.1,-5.3
juwk,2,1,1:10:08,1:10:08,1,1,0,0,-5.4,-6.1
Chris7,2,1,1:09:18,1:09:24,0,0,0,1,-5.9,-6.1
Exodus,4,0,1:09:19,1:09:34,0,0,0,0,-5.9,-6.4
Titou,3,1,1:15:34,1:12:21,0,0,0,2,-6.6,-6.2
AverageGreg,2,1,1:15:34,1:15:55,0,0,0,0,-5.0,-5.2
MutantAura,1,3,1:32:20,1:33:54,1,0,0,0,-2.8,-3.9
Xanra,3,1,1:19:03,1:18:48,0,1,0,0,-6.7,-6.0
Jake Wright,2,2,1:18:34,1:18:10,0,1,0,0,-6.5,-6.0
Bou_Frost,1,3,1:50:09,1:53:22,0,0,1,0,-1.4,-1.2
mkbgnr,0,4,2:17:34,2:17:34,2,1,0,0,-7.2,-5.7
Midboss,3,1,1:36:29,1:36:23,0,0,1,1,-4.2,-3.7
the__consultant,1,2,1:23:51,1:23:55,0,0,1,0,-4.4,-3.4
Tashman91,1,2,1:32:36,1:33:54,0,0,0,0,-3.3,-4.4
Numberplay,2,2,1:25:08,1:25:29,0,0,0,3,-5.2,-4.6
MooseOoT,2,2,1:12:50,1:12:01,1,1,0,2,-7.5,-6.6
blinkzy,2,1,1:24:54,1:19:33,0,1,0,0,-4.9,-5.4
Myelin,2,2,1:56:42,1:55:01,0,1,3,1,-2.8,-2.5
adef,1,3,1:38:06,1:37:34,0,0,0,0,-3.9,-4.1
FantaTanked,3,1,1:17:32,1:14:11,0,1,0,0,-5.1,-4.4
PhoenixFeather,3,1,1:13:54,1:14:03,0,1,0,0,-4.2,-6.2
Hapenfors,1,3,1:31:32,1:33:22,0,0,2,0,-4.6,-3.9
Chromium_Light,1,3,1:59:07,1:59:07,3,2,0,0,-6.1,-5.2
Fleush,2,2,1:18:49,1:20:15,1,1,0,1,-7.8,-6.4
Nalle,2,2,1:33:25,1:36:38,0,0,2,0,-5.3,-6.1
Valientlink,2,2,1:26:48,1:22:29,0,0,0,0,-2.6,-2.8
PsyMarth,2,2,1:23:34,1:23:01,0,0,0,1,-4.6,-5.1
ZAR,1,3,1:42:20,1:37:56,0,0,1,1,-6.0,-5.4
shaggy,2,1,1:20:09,1:20:41,0,0,1,1,-6.8,-5.8
